id,ISBN,title,genre,language,imprint,release_date
326,978-0-0621-9833-4,The Sum of All Kisses,Romance,English,Avon,2013-11-26
327,978-0-0621-9834-1,Because of Miss Bridgerton,Romance,English,Avon,2016-05-31
328,978-0-0621-9835-8,The Girl with the Make-Believe Husband,Romance,English,Avon,2017-05-30
329,978-0-0621-9836-5,The Other Miss Bridgerton,Romance,English,Avon,2017-10-31
330,978-0-0621-9837-2,First Comes Scandal,Romance,English,Avon,2020-04-07
331,978-0-0621-9838-9,Lady Whistledown Strikes Back,Romance,English,Avon,2003-06-24
332,978-0-0628-4927-7,The Poppy War,Fantasy,English,Harper Voyager,2018-05-01
333,978-0-0628-4928-4,The Dragon Republic,Fantasy,English,Harper Voyager,2019-08-06
334,978-0-0628-4929-1,The Burning God,Fantasy,English,Harper Voyager,2020-11-17
335,978-0-0628-4930-7,Babel,Fantasy,English,Harper Voyager,2022-08-23
336,978-0-0628-4931-4,Yellowface,Fiction,English,William Morrow,2023-05-16
337,978-0-0628-4932-1,Katabasis,Fantasy,English,Harper Voyager,2025-04-22
338,978-0-0628-4933-8,Taipei Story,Literary Fiction,English,William Morrow,2026-09-08
339,978-1-6680-9161-6,The Glass Meridian,Literary Fiction,English,Harper,2026-04-07
340,978-1-6680-9162-3,What the River Carries,Literary Fiction,English,Knopf,2026-04-07
341,978-1-6680-9163-0,The Last Cartographer,Historical Fiction,English,William Morrow,2026-04-14
342,978-1-6680-9164-7,All the Quiet Distances,Literary Fiction,English,Farrar Straus Giroux,2026-04-14
343,978-1-6680-9165-4,The Bone Garden,Thriller,English,"Little, Brown",2026-04-14
344,978-1-6680-9166-1,The Orchard at the Edge of Town,Literary Fiction,English,Penguin Press,2026-04-21
345,978-1-6680-9167-8,Daughters of the Salt Sea,Historical Fiction,English,Doubleday,2026-04-21
346,978-1-6680-9168-5,The Unmapping,Literary Fiction,English,Riverhead,2026-04-21
347,978-1-6680-9169-2,Strange Hours,Mystery,English,Minotaur Books,2026-04-28
348,978-1-6680-9170-8,The Echo Chamber,Literary Fiction,English,Random House,2026-04-28
349,978-1-6680-9171-5,A Season of Burning,Literary Fiction,English,HarperCollins,2026-04-28
350,978-1-6680-9172-2,The Cartography of Loss,Literary Fiction,English,Knopf,2021-03-16
351,978-1-6680-9173-9,Where the Light Bends,Literary Fiction,English,Harper,2020-08-11
352,978-1-6680-9174-6,The Weight of Small Things,Literary Fiction,English,Riverhead,2019-05-07
353,978-1-6680-9175-3,These Burning Streets,Literary Fiction,English,Farrar Straus Giroux,2022-09-13
354,978-1-6680-9176-0,The Inheritance of Silence,Literary Fiction,English,Penguin Press,2018-04-03
355,978-1-6680-9177-7,A Map of Every Ruin,Literary Fiction,English,Random House,2023-11-07
356,978-1-6680-9178-4,The Long Silence After,Literary Fiction,English,HarperCollins,2024-02-13
357,978-1-6680-9179-1,What We Carry Home,Literary Fiction,English,Knopf,2024-07-09
358,978-1-6680-9180-7,The Distance Between Stars,Literary Fiction,English,Doubleday,2023-03-21
359,978-1-6680-9181-4,The Slow Unraveling,Literary Fiction,English,Scribner,2022-06-14
360,978-1-6680-9182-1,Hours of Lead,Literary Fiction,English,William Morrow,2021-10-19
361,978-1-6680-9183-8,The Space Between Forgetting,Literary Fiction,English,Riverhead,2025-03-04
362,978-1-6680-9184-5,Every Broken Thing,Literary Fiction,English,Harper,2025-07-15
363,978-1-6680-9185-2,The Afterlight,Literary Fiction,English,Penguin Press,2025-09-02
